Date,Open,High,Low,Close,Volume
2024-01-01,3529.71,3568.83,3513.88,3549.36,825907
2024-01-02,3549.36,3549.36,3508.52,3523.38,1344068
2024-01-03,3508.29,3512.81,3433.83,3438.21,1803075
2024-01-04,3447.52,3463.59,3400.26,3414.97,3598144
2024-01-05,3422.61,3490.36,3422.47,3481.19,1963127
2024-01-08,3481.19,3482.91,3420.19,3425.68,1067805
2024-01-09,3455.16,3494.65,3429.83,3436.49,1370944
2024-01-10,3436.58,3473.13,3434.72,3458.05,1292227
2024-01-11,3468.24,3513.88,3452.41,3479.0,1777909
2024-01-12,3583.73,3637.05,3559.14,3616.14,6813450
2024-01-15,3688.04,3692.69,3618.19,3635.7,2801505
2024-01-16,3631.23,3631.23,3590.76,3596.12,1432672
2024-01-17,3556.72,3641.42,3550.71,3617.82,3458696
2024-01-18,3630.29,3640.35,3596.77,3634.58,2239110
2024-01-19,3699.66,3717.06,3671.58,3697.83,2941975
2024-01-23,3657.46,3689.25,3603.77,3618.31,2618854
2024-01-24,3638.71,3642.13,3568.93,3602.88,2657709
2024-01-25,3601.1,3620.89,3543.71,3573.34,2205154
2024-01-29,3564.43,3582.44,3545.72,3564.62,1646747
2024-01-30,3570.67,3608.51,3551.49,3564.2,1411621
2024-01-31,3574.18,3595.57,3560.35,3578.64,2459358
2024-02-01,3582.44,3662.06,3568.42,3614.46,2363107
2024-02-02,3634.06,3736.61,3631.2,3719.64,2826510
2024-02-05,3735.3,3771.87,3715.7,3726.2,1691523
2024-02-06,3748.43,3891.82,3741.86,3878.79,4474396
2024-02-07,3894.73,3896.6,3820.59,3829.46,2124267
2024-02-08,3835.65,3899.42,3831.94,3877.0,2345173
2024-02-09,3879.3,3924.5,3845.02,3876.63,2100596
2024-02-12,3873.16,3900.92,3850.23,3864.44,1013716
2024-02-13,3868.89,3910.67,3827.67,3891.45,1257415
2024-02-14,3851.59,3859.0,3797.66,3845.12,1391283
2024-02-15,3871.28,3888.44,3829.08,3848.02,1091582
2024-02-16,3857.45,3889.99,3845.12,3871.56,1307556
2024-02-19,3866.64,3871.56,3802.82,3848.59,772291
2024-02-20,3828.24,3843.15,3760.62,3779.99,1193648
2024-02-21,3763.43,3810.65,3733.05,3743.27,1885939
2024-02-22,3724.05,3840.29,3724.05,3832.93,2982052
2024-02-23,3873.16,3873.16,3794.76,3800.1,2538072
2024-02-26,3785.0,3798.13,3735.07,3752.23,1379284
2024-02-27,3750.3,3867.53,3750.3,3849.15,2960475
2024-02-28,3840.9,3896.51,3834.71,3862.8,1939225
2024-02-29,3844.09,3880.75,3811.78,3840.43,3772719
2024-03-01,3851.78,3882.54,3832.65,3839.73,2043265
2024-03-04,3849.71,3861.81,3822.42,3826.92,1749271
2024-03-05,3809.39,3811.26,3732.49,3762.59,2070859
2024-03-06,3745.66,3818.76,3712.28,3811.54,1744204
2024-03-07,3812.2,3867.53,3786.6,3853.09,2688905
2024-03-11,3834.71,3894.73,3834.71,3865.98,2304068
2024-03-12,3865.98,3966.89,3864.76,3931.54,4039801
2024-03-13,3943.49,3977.26,3874.94,3890.98,2837260
2024-03-14,3895.15,3962.25,3831.89,3945.93,2919608
2024-03-15,3931.87,3975.38,3917.24,3956.86,3373143
2024-03-18,3953.11,3990.15,3861.76,3894.26,1526904
2024-03-19,3799.31,3805.64,3719.92,3729.95,8931209
2024-03-20,3738.11,3768.12,3713.92,3723.95,1817913
2024-03-21,3741.91,3759.12,3702.48,3725.87,3829582
2024-03-22,3654.65,3693.1,3615.26,3667.68,5852485
2024-03-26,3634.02,3701.26,3630.69,3636.36,3440925
2024-03-27,3646.68,3652.77,3591.25,3602.04,1968575
2024-03-28,3610.66,3671.53,3601.66,3635.24,4311783
